         2746731 function calls (2746170 primitive calls) in 40.260 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 _iotools.py:468(StringConverter)
        1    0.000    0.000    0.000    0.000 _methods.py:5(<module>)
        1    0.000    0.000    0.000    0.000 _polybase.py:19(ABCPolyBase)
        1    0.000    0.000    0.000    0.000 _polybase.py:8(<module>)
        1    0.000    0.000    0.000    0.000 _version.py:18(NumpyVersion)
        1    0.000    0.000    0.000    0.000 _version.py:7(<module>)
       23    0.000    0.000    0.000    0.000 _weakrefset.py:16(__init__)
       23    0.000    0.000    0.000    0.000 _weakrefset.py:20(__enter__)
       23    0.000    0.000    0.000    0.000 _weakrefset.py:26(__exit__)
       69    0.000    0.000    0.000    0.000 _weakrefset.py:36(__init__)
       23    0.000    0.000    0.000    0.000 _weakrefset.py:52(_commit_removals)
       50    0.000    0.000    0.000    0.000 _weakrefset.py:58(__iter__)
       29    0.000    0.000    0.000    0.000 _weakrefset.py:68(__contains__)
       38    0.000    0.000    0.000    0.000 _weakrefset.py:81(add)
       15    0.000    0.000    0.000    0.000 abc.py:105(register)
        1    0.000    0.000    0.000    0.000 abc.py:128(__instancecheck__)
    23/17    0.000    0.000    0.000    0.000 abc.py:148(__subclasscheck__)
       49    0.000    0.000    0.000    0.000 abc.py:15(abstractmethod)
       17    0.000    0.000    0.001    0.000 abc.py:86(__new__)
       73    0.000    0.000    0.000    0.000 abc.py:89(<genexpr>)
        1    0.000    0.000    0.021    0.021 add_newdocs.py:10(<module>)
        1    0.000    0.000    0.000    0.000 arraypad.py:5(<module>)
        1    0.000    0.000    0.000    0.000 arrayprint.py:5(<module>)
        1    0.000    0.000    0.000    0.000 arrayprint.py:532(FloatFormat)
        1    0.000    0.000    0.000    0.000 arrayprint.py:638(IntegerFormat)
        1    0.000    0.000    0.000    0.000 arrayprint.py:658(LongFloatFormat)
        1    0.000    0.000    0.000    0.000 arrayprint.py:688(LongComplexFormat)
        1    0.000    0.000    0.000    0.000 arrayprint.py:699(ComplexFormat)
        1    0.000    0.000    0.000    0.000 arrayprint.py:715(DatetimeFormat)
        1    0.000    0.000    0.000    0.000 arrayprint.py:743(TimedeltaFormat)
        1    0.000    0.000    0.000    0.000 arraysetops.py:26(<module>)
        1    0.000    0.000    0.000    0.000 arrayterator.py:20(Arrayterator)
        1    0.000    0.000    0.000    0.000 arrayterator.py:9(<module>)
        1    0.001    0.001    0.001    0.001 case.py:1(<module>)
        1    0.000    0.000    0.000    0.000 case.py:1018(FunctionTestCase)
        1    0.000    0.000    0.000    0.000 case.py:133(TestCase)
        1    0.000    0.000    0.000    0.000 case.py:25(SkipTest)
        1    0.000    0.000    0.000    0.000 case.py:34(_ExpectedFailure)
        1    0.000    0.000    0.000    0.000 case.py:45(_UnexpectedSuccess)
        7    0.000    0.000    0.000    0.000 case.py:609(_deprecate)
        1    0.000    0.000    0.000    0.000 case.py:98(_AssertRaisesContext)
        1    0.000    0.000    0.000    0.000 chebyshev.py:2017(Chebyshev)
        1    0.000    0.000    0.000    0.000 chebyshev.py:87(<module>)
        1    0.000    0.000    0.001    0.001 collections.py:1(<module>)
        1    0.000    0.000    0.000    0.000 collections.py:108(items)
        1    0.000    0.000    0.000    0.000 collections.py:26(OrderedDict)
        4    0.001    0.000    0.002    0.000 collections.py:288(namedtuple)
      145    0.000    0.000    0.000    0.000 collections.py:329(<genexpr>)
       21    0.000    0.000    0.000    0.000 collections.py:353(<genexpr>)
       21    0.000    0.000    0.000    0.000 collections.py:355(<genexpr>)
        1    0.000    0.000    0.000    0.000 collections.py:38(__init__)
        1    0.000    0.000    0.000    0.000 collections.py:387(Counter)
       10    0.000    0.000    0.000    0.000 collections.py:54(__setitem__)
       11    0.000    0.000    0.000    0.000 collections.py:73(__iter__)
        1    0.000    0.000    0.315    0.315 conj_mat_INT32_t_COMPLEX128_t.py:1(<module>)
        1    0.000    0.000    0.315    0.315 conj_mat_INT32_t_COMPLEX128_t.py:1(__bootstrap__)
        1    0.000    0.000    0.314    0.314 conj_mat_INT32_t_COMPLEX256_t.py:1(<module>)
        1    0.000    0.000    0.314    0.314 conj_mat_INT32_t_COMPLEX256_t.py:1(__bootstrap__)
        1    0.000    0.000    0.317    0.317 conj_mat_INT32_t_COMPLEX64_t.py:1(<module>)
        1    0.000    0.000    0.317    0.317 conj_mat_INT32_t_COMPLEX64_t.py:1(__bootstrap__)
        1    0.000    0.000    0.311    0.311 conj_mat_INT64_t_COMPLEX128_t.py:1(<module>)
        1    0.000    0.000    0.311    0.311 conj_mat_INT64_t_COMPLEX128_t.py:1(__bootstrap__)
        1    0.000    0.000    0.323    0.323 conj_mat_INT64_t_COMPLEX256_t.py:1(<module>)
        1    0.000    0.000    0.323    0.323 conj_mat_INT64_t_COMPLEX256_t.py:1(__bootstrap__)
        1    0.000    0.000    0.311    0.311 conj_mat_INT64_t_COMPLEX64_t.py:1(<module>)
        1    0.000    0.000    0.311    0.311 conj_mat_INT64_t_COMPLEX64_t.py:1(__bootstrap__)
        1    0.000    0.000    0.000    0.000 contextlib.py:1(<module>)
        1    0.000    0.000    0.000    0.000 contextlib.py:132(closing)
        2    0.000    0.000    0.000    0.000 contextlib.py:54(contextmanager)
        1    0.000    0.000    0.000    0.000 contextlib.py:9(GeneratorContextManager)
        2    0.000    0.000    0.000    0.000 copy_reg.py:14(pickle)
        2    0.000    0.000    0.000    0.000 copy_reg.py:27(constructor)
        1    0.000    0.000    0.000    0.000 core.py:1039(_DomainedBinaryOperation)
        6    0.000    0.000    0.000    0.000 core.py:1059(__init__)
       40    0.000    0.000    0.001    0.000 core.py:109(get_object_signature)
        1    0.000    0.000    0.000    0.000 core.py:128(MAError)
        1    0.000    0.000    0.000    0.000 core.py:131(MaskError)
        1    0.001    0.001    0.002    0.002 core.py:21(<module>)
        1    0.000    0.000    0.000    0.000 core.py:2255(_MaskedPrintOption)
        1    0.000    0.000    0.000    0.000 core.py:2260(__init__)
        1    0.000    0.000    0.000    0.000 core.py:2404(_arraymethod)
        9    0.000    0.000    0.000    0.000 core.py:2433(__init__)
        9    0.000    0.000    0.000    0.000 core.py:2439(getdoc)
        4    0.000    0.000    0.000    0.000 core.py:2446(__get__)
        1    0.000    0.000    0.000    0.000 core.py:2473(MaskedIterator)
        1    0.000    0.000    0.000    0.000 core.py:2586(MaskedArray)
        1    0.000    0.000    0.000    0.000 core.py:5636(mvoid)
        1    0.000    0.000    0.000    0.000 core.py:5832(MaskedConstant)
        1    0.000    0.000    0.000    0.000 core.py:5838(__new__)
        1    0.000    0.000    0.000    0.000 core.py:5841(__array_finalize__)
        1    0.000    0.000    0.000    0.000 core.py:5942(_extrema_operation)
        1    0.000    0.000    0.000    0.000 core.py:5997(_minimum_operation)
        1    0.000    0.000    0.000    0.000 core.py:5999(__init__)
        1    0.000    0.000    0.000    0.000 core.py:6009(_maximum_operation)
        1    0.000    0.000    0.000    0.000 core.py:6011(__init__)
        1    0.000    0.000    0.000    0.000 core.py:6053(_frommethod)
       23    0.000    0.000    0.001    0.000 core.py:6063(__init__)
       23    0.000    0.000    0.001    0.000 core.py:6068(getdoc)
        1    0.000    0.000    0.000    0.000 core.py:7278(_convert2ma)
        8    0.000    0.000    0.000    0.000 core.py:7290(__init__)
        8    0.000    0.000    0.000    0.000 core.py:7295(getdoc)
        1    0.000    0.000    0.000    0.000 core.py:739(_DomainCheckInterval)
        3    0.000    0.000    0.000    0.000 core.py:747(__init__)
        1    0.000    0.000    0.000    0.000 core.py:761(_DomainTan)
        1    0.000    0.000    0.000    0.000 core.py:767(__init__)
        1    0.000    0.000    0.000    0.000 core.py:777(_DomainSafeDivide)
        6    0.000    0.000    0.000    0.000 core.py:779(__init__)
        1    0.000    0.000    0.000    0.000 core.py:794(_DomainGreater)
        3    0.000    0.000    0.000    0.000 core.py:796(__init__)
        1    0.000    0.000    0.000    0.000 core.py:806(_DomainGreaterEqual)
        2    0.000    0.000    0.000    0.000 core.py:808(__init__)
        1    0.000    0.000    0.000    0.000 core.py:817(_MaskedUnaryOperation)
       27    0.000    0.000    0.000    0.000 core.py:834(__init__)
        1    0.000    0.000    0.000    0.000 core.py:894(_MaskedBinaryOperation)
       18    0.000    0.000    0.000    0.000 core.py:913(__init__)
        4    0.000    0.000    0.000    0.000 core.py:92(doc_note)
        1    0.000    0.000    1.256    1.256 csc_mat_INT32_t_COMPLEX128_t.py:1(<module>)
        1    0.000    0.000    1.256    1.256 csc_mat_INT32_t_COMPLEX128_t.py:1(__bootstrap__)
        1    0.000    0.000    1.255    1.255 csc_mat_INT32_t_COMPLEX256_t.py:1(<module>)
        1    0.000    0.000    1.255    1.255 csc_mat_INT32_t_COMPLEX256_t.py:1(__bootstrap__)
        1    0.000    0.000    1.269    1.269 csc_mat_INT32_t_COMPLEX64_t.py:1(<module>)
        1    0.000    0.000    1.269    1.269 csc_mat_INT32_t_COMPLEX64_t.py:1(__bootstrap__)
        1    0.000    0.000    1.266    1.266 csc_mat_INT32_t_FLOAT128_t.py:1(<module>)
        1    0.000    0.000    1.266    1.266 csc_mat_INT32_t_FLOAT128_t.py:1(__bootstrap__)
        1    0.000    0.000    1.261    1.261 csc_mat_INT32_t_FLOAT32_t.py:1(<module>)
        1    0.000    0.000    1.261    1.261 csc_mat_INT32_t_FLOAT32_t.py:1(__bootstrap__)
        1    0.000    0.000    1.270    1.270 csc_mat_INT32_t_FLOAT64_t.py:1(<module>)
        1    0.000    0.000    1.270    1.270 csc_mat_INT32_t_FLOAT64_t.py:1(__bootstrap__)
        1    0.000    0.000    1.577    1.577 csc_mat_INT32_t_INT32_t.py:1(<module>)
        1    0.000    0.000    1.577    1.577 csc_mat_INT32_t_INT32_t.py:1(__bootstrap__)
        1    0.000    0.000    1.270    1.270 csc_mat_INT32_t_INT64_t.py:1(<module>)
        1    0.000    0.000    1.270    1.270 csc_mat_INT32_t_INT64_t.py:1(__bootstrap__)
        1    0.000    0.000    0.958    0.958 csc_mat_INT64_t_COMPLEX128_t.py:1(<module>)
        1    0.000    0.000    0.958    0.958 csc_mat_INT64_t_COMPLEX128_t.py:1(__bootstrap__)
        1    0.000    0.000    0.986    0.986 csc_mat_INT64_t_COMPLEX256_t.py:1(<module>)
        1    0.000    0.000    0.986    0.986 csc_mat_INT64_t_COMPLEX256_t.py:1(__bootstrap__)
        1    0.000    0.000    0.946    0.946 csc_mat_INT64_t_COMPLEX64_t.py:1(<module>)
        1    0.000    0.000    0.946    0.946 csc_mat_INT64_t_COMPLEX64_t.py:1(__bootstrap__)
        1    0.000    0.000    0.942    0.942 csc_mat_INT64_t_FLOAT128_t.py:1(<module>)
        1    0.000    0.000    0.942    0.942 csc_mat_INT64_t_FLOAT128_t.py:1(__bootstrap__)
        1    0.000    0.000    0.943    0.943 csc_mat_INT64_t_FLOAT32_t.py:1(<module>)
        1    0.000    0.000    0.943    0.943 csc_mat_INT64_t_FLOAT32_t.py:1(__bootstrap__)
        1    0.000    0.000    0.943    0.943 csc_mat_INT64_t_FLOAT64_t.py:1(<module>)
        1    0.000    0.000    0.943    0.943 csc_mat_INT64_t_FLOAT64_t.py:1(__bootstrap__)
        1    0.000    0.000    1.252    1.252 csc_mat_INT64_t_INT32_t.py:1(<module>)
        1    0.000    0.000    1.252    1.252 csc_mat_INT64_t_INT32_t.py:1(__bootstrap__)
        1    0.000    0.000    0.945    0.945 csc_mat_INT64_t_INT64_t.py:1(<module>)
        1    0.000    0.000    0.945    0.945 csc_mat_INT64_t_INT64_t.py:1(__bootstrap__)
        1    0.000    0.000    0.933    0.933 csr_mat_INT32_t_COMPLEX128_t.py:1(<module>)
        1    0.000    0.000    0.933    0.933 csr_mat_INT32_t_COMPLEX128_t.py:1(__bootstrap__)
        1    0.000    0.000    0.937    0.937 csr_mat_INT32_t_COMPLEX256_t.py:1(<module>)
        1    0.000    0.000    0.937    0.937 csr_mat_INT32_t_COMPLEX256_t.py:1(__bootstrap__)
        1    0.000    0.000    0.952    0.952 csr_mat_INT32_t_COMPLEX64_t.py:1(<module>)
